description,price,rating,review_count,url
"USB C Docking Station,13-in-1 Triple Display Type C Adapter(HDMI,2 DisplayPort,Ethernet,4 USB 3.0,SD/TF Card Reader,Phone Jack,DC Jack) for MacBook Pro,Dell XPS 13/15,HP,Lenovo Yoga",129,4.2 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTQzNjg2MjAzNzcxNjE5OjE3MjM4MjYzOTM6c3BfYXRmX25leHQ6MjAwMTM4ODg4ODQ0Mjk4OjowOjo&url=%2FWAVLINK-Docking-Station-DisplayPort-Ethernet%2Fdp%2FB08NJMDCMH%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826393%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Hard EVA Protective Sleeve Case Compatible for 15.6 inch Dell Latitude 3540 Laptop, 15.6 inch Dell Carry Travel Case Waterproof Sleeve (X8278)",45,4.2 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTQzNjg2MjAzNzcxNjE5OjE3MjM4MjYzOTM6c3BfYXRmX25leHQ6MzAwMjE1Mjk5NjUwNzAyOjowOjo&url=%2FSmatree-Protective-Compatible-Waterproof-M85%2Fdp%2FB0CHVKHMPM%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826393%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Dell Latitude 5320 2in1 Gen2 Touchscreen Laptop i7, 13.3in FHD(1920x1080) i7 Laptop Comnputer 5320 with Backlit Keyboard, Quad Core i7-11th Gen 4.8GHz, 32GB RAM, 512GB SSD, Win10 pro(Renewed)",429,4.7 out of 5 stars,,https://www.amazon.com/Dell-Latitude-Touchscreen-1920x1080-Comnputer/dp/B0D4D82CD4/ref=sr_1_19?dib=eyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ&dib_tag=se&keywords=dell+laptop&qid=1723826393&sr=8-19
"Inspiron 15 15.6"" Laptop (FHD Touchscreen, AMD Ryzen 5 7530U, 16GB RAM, 512GB PCIe SSD, (6-Core Beat i7-1165G7)) Numeric Keypad, Webcam, 2023 Inspiron 3000 3535, Win 11 Home, Carbon Black",495,4.0 out of 5 stars,,https://www.amazon.com/Dell-Inspiron-Touchscreen-i7-1165G7-3535/dp/B0CL4S2JDG/ref=sr_1_21?dib=eyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ&dib_tag=se&keywords=dell+laptop&qid=1723826393&sr=8-21
"Dell Latitude 5480 Business Laptop, 14 Inch HD, Intel Core 7th Generation i5-7300U, 8GB DDR4, 256GB SSD, Webcam, Windows 10 Pro (Renewed)",158,4.1 out of 5 stars,,https://www.amazon.com/Dell-Latitude-5480-Business-Generation/dp/B09WX6R9F3/ref=sr_1_24?dib=eyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ&dib_tag=se&keywords=dell+laptop&qid=1723826393&sr=8-24
"Hard EVA Protective Sleeve Case Compatible for 17.3 inch Dell Alienware x17 R2 Gaming Laptop, for Alienware m17 R5 Gaming Laptop 17.3 inch Slim and Anti-Shock Case Notebook Bag(X8333)",54,4.6 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTQzNjg2MjAzNzcxNjE5OjE3MjM4MjYzOTM6c3BfbXRmOjMwMDEzODA1NDI0MzgwMjo6MDo6&url=%2FSmatree-Protective-Compatible-Alienware-Anti-Shock%2Fdp%2FB0CHS532FD%2Fref%3Dsr_1_27_sspa%3Fdib%3DeyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826393%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"USB C Docking Station for MacBook Dell XPS 13/15, Lenovo Yoga, HP Laptops, USB C to Dual HDMI Monitors for Windows, USB C Hub Adapter with Dual HDMI, Displayport, VGA, 3 USB 2.0 Ports, Silver",34,4.2 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTQzNjg2MjAzNzcxNjE5OjE3MjM4MjYzOTM6c3BfbXRmOjMwMDA1Njg4Mjk3MTEwMjo6MDo6&url=%2FWAVLINK-Docking-Station-Monitors-Displayport%2Fdp%2FB0CFXSXHLS%2Fref%3Dsr_1_28_sspa%3Fdib%3DeyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826393%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Latitude 7430 7000 Business Laptop (14"" FHD, Intel 10-Core i5-1245U (Beat i7-1255U), 16GB RAM, 1TB SSD) Backlit Keyboard, Thunderbolt 4, 3-Year Warranty, Wi-Fi 6E, Webcam, Win 11 Pro, Black",844,,,https://www.amazon.com/Dell-Latitude-7420-Business-i5-1145G7/dp/B0C5D2QMW9/ref=sr_1_29?dib=eyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ&dib_tag=se&keywords=dell+laptop&qid=1723826393&sr=8-29
Dell Latitude 5480 | 14 inch Business Laptop | Intel i5-6300U | 8GB DDR4 | 256GB SSD | Backlit Keyboard | Win 10 Pro (Renewed),156,4.3 out of 5 stars,,https://www.amazon.com/Dell-Latitude-Business-i5-6300U-Keyboard/dp/B07MBR4F43/ref=sr_1_33?dib=eyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ&dib_tag=se&keywords=dell+laptop&qid=1723826393&sr=8-33
KM3322W Keyboard and Mouse,19,4.4 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTQzNjg2MjAzNzcxNjE5OjE3MjM4MjYzOTM6c3BfYnRmOjMwMDE2Mzg4NjIxNTQwMjo6MDo6&url=%2FDell-Wireless-Keyboard-Mouse-Mechanical%2Fdp%2FB0BWNBYWJZ%2Fref%3Dsr_1_37_sspa%3Fdib%3DeyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826393%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
